epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.9108,2.43528,2.60674,1.41737,0.02958,0.3413,0.15064,0.064,2.04348,2.84388,1.27436,0.000656085,0.000656085,0.000656085
2,28.191,2.15215,1.85055,1.224,0.36008,0.28038,0.2452,0.10132,2.21468,1.93591,1.25478,0.00130966,0.00130966,0.00130966
3,39.9267,2.14755,1.79268,1.21798,0.41192,0.33365,0.28929,0.10781,2.17068,2.75674,1.25425,0.00195003,0.00195003,0.00195003
4,51.374,2.09282,1.67821,1.20286,0.49017,0.35507,0.34961,0.1549,2.06978,1.63043,1.23757,0.0019406,0.0019406,0.0019406
5,63.2927,2.06022,1.60622,1.1919,0.46315,0.38795,0.3607,0.15628,2.00174,1.5664,1.19603,0.0019208,0.0019208,0.0019208
6,74.8893,2.0418,1.57832,1.18614,0.39971,0.32083,0.28124,0.10834,2.15261,1.76688,1.2392,0.001901,0.001901,0.001901
7,86.5923,2.0162,1.56142,1.18687,0.46417,0.38126,0.35849,0.1527,2.03014,1.74589,1.20118,0.0018812,0.0018812,0.0018812
8,98.2356,1.99203,1.53444,1.17224,0.49292,0.40928,0.38913,0.17471,1.97467,1.78947,1.19919,0.0018614,0.0018614,0.0018614
9,109.823,1.96843,1.51286,1.16122,0.52771,0.38891,0.39175,0.16091,2.07996,1.64984,1.19258,0.0018416,0.0018416,0.0018416
10,121.372,1.93879,1.47942,1.15059,0.54903,0.40287,0.41866,0.19426,1.94851,1.67134,1.17833,0.0018218,0.0018218,0.0018218
11,133.33,1.91208,1.43839,1.14466,0.53242,0.39369,0.41285,0.185,1.9504,1.48721,1.17769,0.001802,0.001802,0.001802
12,145.077,1.93547,1.46979,1.15217,0.53089,0.41005,0.41706,0.19212,1.89272,1.50531,1.15683,0.0017822,0.0017822,0.0017822
13,156.767,1.9071,1.42119,1.14272,0.54014,0.40516,0.419,0.20458,1.84384,1.43673,1.1713,0.0017624,0.0017624,0.0017624
14,168.346,1.88125,1.41338,1.13537,0.5278,0.42744,0.43675,0.20597,1.92013,1.42526,1.17686,0.0017426,0.0017426,0.0017426
15,180.041,1.88114,1.39353,1.12666,0.57624,0.4304,0.46091,0.22232,1.8398,1.37138,1.14039,0.0017228,0.0017228,0.0017228
16,191.751,1.84557,1.38796,1.126,0.56741,0.45243,0.46216,0.22763,1.83417,1.3583,1.15373,0.001703,0.001703,0.001703
17,203.509,1.8586,1.36868,1.11488,0.55017,0.4027,0.42827,0.19957,1.9477,1.45057,1.15243,0.0016832,0.0016832,0.0016832
18,215.059,1.86022,1.35568,1.10361,0.59873,0.43098,0.46688,0.22407,1.85378,1.38376,1.1496,0.0016634,0.0016634,0.0016634
19,226.699,1.83917,1.37555,1.11008,0.59052,0.42122,0.46253,0.2195,1.86982,1.38445,1.13078,0.0016436,0.0016436,0.0016436
20,238.248,1.82861,1.34857,1.10539,0.56857,0.39426,0.41599,0.18102,2.01308,1.45588,1.15868,0.0016238,0.0016238,0.0016238
